UF,Ano,CD_Municipio,Municipio,Cargo,Tipo,Detalhe
AC,2000,1120,ACRELÂNDIA,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1120,ACRELÂNDIA,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1570,ASSIS BRASIL,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1570,ASSIS BRASIL,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1058,BRASILÉIA,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1058,BRASILÉIA,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1015,CAPIXABA,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1015,CAPIXABA,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1074,CRUZEIRO DO SUL,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1074,CRUZEIRO DO SUL,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1112,EPITACIOLÂNDIA,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1112,EPITACIOLÂNDIA,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1139,FEIJÓ,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1139,FEIJÓ,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1104,JORDÃO,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1104,JORDÃO,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1554,MANUEL URBANO,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1554,MANUEL URBANO,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1040,MARECHAL THAUMATURGO,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1040,MARECHAL THAUMATURGO,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1090,MÂNCIO LIMA,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1090,MÂNCIO LIMA,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1511,PLÁCIDO DE CASTRO,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1511,PLÁCIDO DE CASTRO,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1066,PORTO WALTER,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1066,PORTO WALTER,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1082,RODRIGUES ALVES,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1082,RODRIGUES ALVES,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1031,SANTA ROSA,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1031,SANTA ROSA,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1457,SENA MADUREIRA,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1457,SENA MADUREIRA,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1538,SENADOR GUIOMARD,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1538,SENADOR GUIOMARD,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1473,TARAUACÁ,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1473,TARAUACÁ,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1490,XAPURI,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AC,2000,1490,XAPURI,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AL,2000,27715,JAPARATINGA,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AL,2000,27855,MACEIÓ,prefeito,TURNO_2_AUSENTE_NA_SECAO,Turno preenchido com totais do munzona; sem visao por local
AM,2000,2976,BOA VISTA DO RAMOS,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AM,2000,2976,BOA VISTA DO RAMOS,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AM,2000,2194,CANUTAMA,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AM,2000,2194,CANUTAMA,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AM,2000,2020,GUAJARÁ,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AM,2000,2020,GUAJARÁ,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6084,AMAPARI,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6084,AMAPARI,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6017,AMAPÁ,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6017,AMAPÁ,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6033,CALÇOENE,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6033,CALÇOENE,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6068,CUTIAS,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6068,CUTIAS,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6114,FERREIRA GOMES,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6114,FERREIRA GOMES,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6041,ITAUBAL,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6041,ITAUBAL,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6130,LARANJAL DO JARI,prefeito,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
AP,2000,6130,LARANJAL DO JARI,vereador,MUNICIPIO_AUSENTE_NA_SECAO,Totais do munzona; sem visao por local
